OrderID;CustomerID;EmployeeID;OrderDate;RequiredDate;ShippedDate;ShipVia;Freight;ShipName;ShipAddress;ShipCity;ShipRegion;ShipPostalCode;ShipCountry;ContactTitle
1;ALFKI;1;2015.03.17 17:25;2015.12.24 21:28;2015.08.14 22:46;2;6.0000;lacus. Quisque purus sapien,;"Ap #666-239 Curae; Street";Södertälje;Stockholms län;72853;French Guiana;Lorem ipsum
2;ANATR;1;2015.05.14 21:35;2015.07.31 07:07;2015.09.19 21:20;1;70.0000;dui, nec tempus mauris erat;P.O. Box 752, 5937 Lorem Rd.;Assen;Dr;9644;Niger;Lorem
3;ANTON;2;2015.01.26 05:49;2015.09.18 07:18;2015.09.23 14:15;2;49.0000;hendrerit consectetuer, cursus;Ap #250-6048 Libero Avenue;Hamilton;VIC;4820;Ecuador;Lorem
4;AROUT;3;2015.04.26 10:11;2015.10.21 01:41;2015.08.30 01:11;3;5.0000;hendrerit;3403 Nonummy. St.;Istanbul;Ist;21509;Barbados;Lorem
5;BERGS;2;2015.04.07 15:59;2015.10.22 01:01;2015.07.03 13:56;2;40.0000;a, magna.;4380 Ut Rd.;Camarones;XV;5317;United States;Lorem ipsum
6;BLAUS;5;2015.04.02 07:17;2015.10.12 12:20;2015.09.30 02:19;2;47.0000;vitae;674-9185 Netus Road;Alacant;Comunitat Valenciana;73798;Macedonia;Lorem ipsum dolor
7;BLONP;5;2015.01.29 12:06;2015.12.18 06:02;2015.08.05 09:11;1;13.0000;et;770-300 Velit. Rd.;Morwell;Victoria;75672;Iceland;Lorem ipsum
8;BOLID;6;2015.04.25 20:08;2015.09.01 12:19;2015.07.13 15:44;2;14.0000;est, congue;P.O. Box 795, 5756 Aliquam Rd.;Vienna;Vienna;2026;South Sudan;Lorem ipsum dolor
9;BONAP;5;2015.06.28 00:46;2015.08.27 22:38;2015.08.10 06:52;3;53.0000;magna. Lorem ipsum dolor sit;8162 Ut Road;Vienna;Vienna;89621;Myanmar;Lorem
10;BOTTM;7;2015.05.24 19:46;2015.08.23 06:23;2015.08.18 14:56;3;71.0000;libero;896-7958 Nibh Ave;Berlin;BE;52-864;Turkmenistan;Lorem ipsum
11;BSBEV;6;2015.05.06 07:34;2015.12.14 21:54;2015.08.05 11:55;2;74.0000;arcu. Morbi sit amet;3089 Arcu Av.;Thorold;Ontario;875407;Nicaragua;Lorem
12;CACTU;4;2015.04.03 16:23;2015.07.08 02:27;2015.07.12 03:39;1;68.0000;augue ac;7396 Dolor. Road;Viano;ERM;782411;Greenland;Lorem ipsum
13;CENTC;5;2015.04.15 21:17;2015.11.18 14:01;2015.08.05 15:44;2;53.0000;pede sagittis;1607 Phasellus Rd.;Saguenay;Quebec;2295;United States Minor Outlying Islands;Lorem ipsum dolor
14;CHOPS;2;2015.06.17 04:56;2015.07.10 12:38;2015.08.10 12:12;2;44.0000;Phasellus;Ap #384-8572 Maecenas St.;Schönebeck;Saxony-Anhalt;G85 6OJ;Saint Barthélemy;Lorem ipsum dolor
15;COMMI;8;2015.04.18 23:50;2015.09.14 12:47;2015.07.29 13:23;1;79.0000;metus. Aenean;6365 Purus. Av.;Monfumo;VEN;3386MN;Zambia;Lorem ipsum dolor
16;CONSH;7;2015.01.30 01:02;2015.07.06 12:28;2015.08.17 04:47;1;89.0000;in;130-1067 Elit. Av.;Saint-Malo;BR;DG2 1FT;Tuvalu;Lorem
17;DRACD;3;2015.01.21 13:24;2015.12.22 20:11;2015.09.27 11:30;1;71.0000;risus. Donec nibh enim, gravida;P.O. Box 711, 9155 Risus Rd.;Curacaví;Metropolitana de Santiago;83853;Korea, South;Lorem ipsum dolor
18;DUMON;9;2015.05.18 11:48;2015.11.20 13:28;2015.08.11 02:56;3;34.0000;velit. Pellentesque ultricies;Ap #107-4117 Magna. St.;Lacombe County;Alberta;40258;Lithuania;Lorem
19;EASTC;3;2015.01.17 01:23;2015.10.10 08:16;2015.07.17 07:05;3;17.0000;libero. Donec consectetuer mauris id;P.O. Box 959, 439 Ac St.;Cáceres;Extremadura;17869-426;Marshall Islands;Lorem ipsum dolor
20;ERNSH;3;2015.06.20 13:54;2015.10.28 13:32;2015.07.28 00:46;2;11.0000;eleifend egestas. Sed pharetra,;Ap #855-524 Mus. St.;Pembroke;PE;70309;Bangladesh;Lorem ipsum dolor
21;FAMIA;9;2015.05.07 01:55;2015.11.12 17:27;2015.08.19 16:36;1;76.0000;Vestibulum ut;P.O. Box 486, 5624 Libero. Road;Osogbo;Osun;77232;Algeria;Lorem ipsum dolor
22;FISSA;5;2015.05.28 15:46;2015.10.27 20:04;2015.06.30 02:09;1;70.0000;dolor egestas;P.O. Box 414, 9762 Rhoncus. St.;Colombes;Île-de-France;2325;Turkey;Lorem ipsum
23;FOLIG;7;2015.02.01 05:23;2015.11.26 01:46;2015.09.18 15:35;2;90.0000;sem magna nec;752-5147 Metus. St.;Zaanstad;N.;5590;Portugal;Lorem ipsum dolor
24;FOLKO;8;2015.01.27 09:47;2015.09.17 02:39;2015.07.13 16:26;2;1.0000;porta;6689 Lorem St.;Vienna;Vienna;1794;Viet Nam;Lorem
25;FRANK;7;2015.05.28 00:54;2015.12.24 23:22;2015.08.31 08:30;2;100.0000;tempor augue;P.O. Box 449, 8946 Eu Av.;Anghiari;Toscana;9939;Senegal;Lorem
26;FRANR;8;2015.02.02 08:27;2015.09.10 05:21;2015.07.15 23:17;2;77.0000;lobortis;874-868 Dignissim Rd.;Broken Arrow;OK;7264;Canada;Lorem ipsum
27;FRANS;3;2015.04.10 13:48;2015.10.06 19:58;2015.08.06 14:41;1;68.0000;Pellentesque tincidunt;P.O. Box 124, 9494 Ullamcorper Street;Carapicuíba;São Paulo;433009;Western Sahara;Lorem
28;FURIB;4;2015.02.06 16:26;2015.10.11 13:16;2015.08.03 10:34;3;74.0000;lectus;5145 In St.;Zierikzee;Zeeland;613531;Turks and Caicos Islands;Lorem ipsum
29;GALED;1;2015.05.13 21:48;2015.09.09 21:05;2015.09.16 02:39;1;41.0000;semper et,;Ap #433-3311 Nascetur Rd.;Vallenar;III;51201;Somalia;Lorem ipsum
30;GODOS;4;2015.03.17 03:53;2015.07.16 07:24;2015.08.13 02:25;2;91.0000;tempor erat neque non;8964 Rhoncus. Avenue;Aurillac;Auvergne;25-677;Nepal;Lorem ipsum dolor
31;GOURL;5;2015.03.06 09:41;2015.12.23 22:20;2015.07.10 02:08;1;21.0000;porta elit, a feugiat tellus;642-9207 Orci St.;Vico nel Lazio;Lazio;55-655;Angola;Lorem
32;GREAL;9;2015.06.09 20:19;2015.12.07 04:17;2015.07.19 10:25;1;43.0000;euismod in,;699 Nibh. St.;Camaçari;Bahia;15308;Syria;Lorem ipsum
33;GROSR;8;2015.06.07 03:43;2015.10.04 22:28;2015.07.31 12:54;3;94.0000;urna. Nunc;P.O. Box 455, 3115 Ante. St.;Zoetermeer;Zuid Holland;1393;Hong Kong;Lorem ipsum dolor
34;HANAR;8;2015.03.22 10:20;2015.10.15 20:43;2015.06.30 16:22;1;99.0000;diam. Duis mi;P.O. Box 382, 7071 Est. Avenue;Chełm;Lubelskie;80904;Honduras;Lorem
35;HILAA;6;2015.04.28 14:18;2015.10.14 20:21;2015.08.13 16:12;2;34.0000;ante ipsum;1892 Ante Avenue;Valladolid;Castilla y León;6312;Belize;Lorem ipsum dolor
36;HUNGC;8;2015.02.03 12:39;2015.08.19 11:12;2015.09.20 14:51;3;81.0000;a mi fringilla mi;Ap #853-5650 Nullam Road;Lublin;Lubelskie;31603;Turkmenistan;Lorem ipsum dolor
37;HUNGO;6;2015.03.24 03:21;2015.08.26 06:48;2015.09.27 22:13;2;30.0000;libero. Proin mi. Aliquam;860-9745 Eu Rd.;Piracicaba;SP;8505;Antarctica;Lorem ipsum dolor
38;ISLAT;4;2015.04.11 06:09;2015.11.03 20:31;2015.09.17 15:25;3;82.0000;eros;Ap #245-8319 Aliquet Rd.;Istanbul;Ist;64766;Seychelles;Lorem ipsum dolor
39;KOENE;9;2015.05.17 03:59;2015.07.27 15:57;2015.09.25 09:05;3;19.0000;Proin sed turpis nec;3674 Montes, Av.;Mission;British Columbia;6144;Azerbaijan;Lorem ipsum dolor
40;LACOR;9;2015.02.01 19:25;2015.07.07 05:52;2015.07.13 09:51;1;29.0000;tellus, imperdiet non,;3431 Dictum St.;Bergama;İzm;44841;Myanmar;Lorem ipsum
41;LAMAI;9;2015.04.01 02:28;2015.12.09 19:32;2015.07.10 18:35;1;75.0000;dolor;8294 Fermentum St.;Ciudad Real;Castilla - La Mancha;41765-655;Heard Island and Mcdonald Islands;Lorem ipsum dolor
42;LAUGB;4;2015.03.02 18:11;2015.08.22 10:02;2015.07.02 00:29;1;22.0000;eros non;502-1026 Magnis Street;Girona;CA;81329;Dominican Republic;Lorem ipsum dolor
43;LAZYK;9;2015.06.09 21:48;2015.07.30 09:22;2015.08.14 11:29;1;32.0000;nibh. Quisque nonummy;Ap #530-6037 Consectetuer, Ave;Saint-Sébastien-sur-Loire;Pays de la Loire;75049;India;Lorem ipsum
44;LEHMS;5;2015.02.04 22:25;2015.08.12 14:28;2015.09.17 00:28;1;54.0000;bibendum ullamcorper.;744-8418 Sit Rd.;Vetlanda;Jönköpings län;58010;Palestine, State of;Lorem ipsum dolor
45;LETSS;9;2015.01.21 14:27;2015.07.14 12:15;2015.08.30 16:20;2;7.0000;lacus. Aliquam;658-5736 Massa St.;Bilbo;Euskadi;43068;Gambia;Lorem ipsum dolor
46;LILAS;3;2015.06.12 16:31;2015.07.18 08:45;2015.09.13 07:10;1;96.0000;iaculis odio. Nam;Ap #977-9554 Et St.;Cabo de Hornos;Magallanes y Antártica Chilena;54-218;Vanuatu;Lorem ipsum
47;LINOD;7;2015.04.15 20:41;2015.10.09 17:03;2015.07.22 21:02;2;95.0000;quam a felis ullamcorper viverra.;Ap #663-1938 Fringilla Road;Iquique;Tarapacá;950358;Mali;Lorem
48;LONEP;6;2015.02.27 02:53;2015.08.08 05:46;2015.07.04 14:29;3;90.0000;lectus. Nullam;P.O. Box 440, 9766 Donec Av.;Panihati;West Bengal;13952;Jamaica;Lorem ipsum
49;MAGAA;5;2015.06.28 15:39;2015.09.06 21:37;2015.08.15 01:28;1;57.0000;magna a;Ap #923-3803 Eu Rd.;Bauchi;BA;578363;Bouvet Island;Lorem
50;MAISD;8;2015.04.05 05:49;2015.09.02 21:22;2015.07.04 02:29;2;64.0000;auctor,;P.O. Box 508, 706 Lorem Road;Lions Bay;British Columbia;4615;Palestine, State of;Lorem
51;MEREP;3;2015.03.14 18:29;2015.09.18 21:41;2015.07.31 05:17;1;13.0000;Cras eget;P.O. Box 993, 1331 Ac Rd.;Shreveport;Louisiana;9450;Chad;Lorem ipsum dolor
52;MORGK;1;2015.03.28 10:39;2015.10.04 08:38;2015.08.18 15:56;2;33.0000;adipiscing elit. Aliquam;9571 Tortor Avenue;Minna;NI;8155;Luxembourg;Lorem ipsum
53;NORTS;7;2015.03.04 22:52;2015.12.12 21:50;2015.07.18 10:51;2;45.0000;orci luctus et ultrices;P.O. Box 296, 3855 Amet Ave;Giardinello;SIC;309957;Senegal;Lorem ipsum dolor
54;OCEAN;8;2015.05.10 11:41;2015.10.13 05:27;2015.07.23 13:36;2;41.0000;sollicitudin commodo ipsum;Ap #555-3570 Lobortis Rd.;Tiel;Gelderland;19892;Northern Mariana Islands;Lorem
55;OLDWO;7;2015.06.10 10:29;2015.12.24 19:56;2015.08.23 15:20;1;39.0000;cursus vestibulum.;4868 In Rd.;Galway;Connacht;2955;Reunion;Lorem
56;OTTIK;5;2015.06.07 21:06;2015.10.19 02:07;2015.09.17 23:00;1;81.0000;ullamcorper eu, euismod ac,;Ap #864-6841 Tincidunt, Road;Hamburg;HH;223108;Sweden;Lorem
57;PARIS;1;2015.04.15 01:10;2015.11.01 22:59;2015.09.25 13:11;3;99.0000;est ac facilisis;P.O. Box 288, 1503 Nibh. Street;Minneapolis;Minnesota;525987;Tonga;Lorem ipsum dolor
58;PERIC;8;2015.06.22 05:46;2015.09.10 21:13;2015.08.19 15:14;1;47.0000;semper erat,;693-9280 Cursus, Av.;Burcht;Antwerpen;977129;Saint Pierre and Miquelon;Lorem ipsum
59;PICCO;5;2015.03.16 23:51;2015.07.29 22:53;2015.08.29 14:48;2;7.0000;Duis;783-4745 Lacinia Avenue;Vienna;Wie;319502;Sierra Leone;Lorem ipsum
60;PRINI;4;2015.01.19 23:05;2015.10.06 16:35;2015.07.02 00:08;2;58.0000;massa lobortis ultrices.;P.O. Box 713, 7371 Ac Av.;San José;San José;35058;Honduras;Lorem ipsum
61;QUEDE;7;2015.01.17 01:39;2015.11.25 01:46;2015.07.23 18:43;1;51.0000;Donec egestas. Aliquam nec;P.O. Box 805, 8215 Purus, St.;Piotrków Trybunalski;łódzkie;75848;Guinea-Bissau;Lorem
62;QUEEN;3;2015.02.10 17:40;2015.08.26 13:00;2015.07.30 01:37;3;90.0000;quis urna. Nunc quis;3328 Ac Street;Södertälje;Stockholms län;8766;Pakistan;Lorem ipsum
63;QUICK;9;2015.03.20 13:21;2015.10.29 02:35;2015.08.31 13:26;2;20.0000;nunc interdum feugiat. Sed nec;P.O. Box 329, 4118 At, St.;Gold Coast;QLD;455148;China;Lorem ipsum
64;RANCH;8;2015.01.01 04:40;2015.08.20 13:56;2015.09.20 21:26;2;1.0000;tempus scelerisque, lorem;585 Feugiat. Avenue;South Portland;ME;1628;Guernsey;Lorem ipsum dolor
65;RATTC;4;2015.04.06 21:50;2015.10.06 04:55;2015.07.17 10:01;3;24.0000;Cras lorem;Ap #596-7549 Mattis Ave;Cambridge;Cambridgeshire;70514;Bulgaria;Lorem
66;REGGC;5;2015.06.20 02:50;2015.08.16 08:21;2015.07.01 19:31;1;44.0000;eleifend non,;Ap #387-1723 Donec Street;Vienna;Vienna;6614;Tajikistan;Lorem ipsum dolor
67;RICAR;8;2015.05.14 07:59;2015.08.16 19:28;2015.07.24 08:20;1;100.0000;est, congue a, aliquet;P.O. Box 213, 8575 Nunc Rd.;Kapuskasing;ON;75225;Samoa;Lorem ipsum dolor
68;RICSU;9;2015.03.01 22:54;2015.07.31 15:44;2015.08.26 07:03;1;39.0000;et magnis dis parturient montes,;8174 Vitae Ave;Dannevirke;North Island;27111;Pakistan;Lorem ipsum dolor
69;ROMEY;9;2015.06.03 16:33;2015.07.09 18:21;2015.07.24 11:25;1;36.0000;tellus;218 Sapien St.;Bollnäs;Gävleborgs län;463020;Luxembourg;Lorem
70;SANTG;6;2015.03.06 09:14;2015.10.14 22:52;2015.08.31 19:16;3;29.0000;molestie;P.O. Box 300, 8473 Nunc Ave;Limena;VEN;383360;Dominica;Lorem ipsum dolor
71;SAVEA;5;2015.06.15 01:28;2015.07.17 10:26;2015.08.01 14:45;3;98.0000;Donec elementum, lorem;P.O. Box 144, 4444 Enim. Rd.;Barddhaman;WB;20900;Sri Lanka;Lorem
72;SEVES;7;2015.02.06 21:07;2016.01.05 03:35;2015.08.23 11:08;3;6.0000;feugiat non, lobortis quis,;5802 Nam Road;Pamplona;NA;77993;Aruba;Lorem ipsum
73;SIMOB;7;2015.03.21 04:55;2015.10.27 12:47;2015.07.15 14:14;2;58.0000;Donec luctus aliquet odio. Etiam;P.O. Box 920, 5943 Tempor Av.;Valparaíso de Goiás;GO;179538;Kuwait;Lorem
74;SPECD;8;2015.03.02 11:40;2015.08.09 21:47;2015.09.22 22:18;2;99.0000;Cras dolor dolor, tempus;Ap #784-9637 Ut Avenue;Jundiaí;São Paulo;13342;Cameroon;Lorem ipsum
75;SPLIR;8;2015.06.15 15:10;2015.10.27 16:27;2015.08.21 11:26;1;33.0000;iaculis odio. Nam interdum enim;P.O. Box 209, 9658 At, Ave;Gdynia;Pomorskie;40490;Sudan;Lorem ipsum dolor
76;SUPRD;6;2015.04.21 05:52;2015.08.30 00:12;2015.09.14 08:41;1;52.0000;Nunc ullamcorper, velit in aliquet;863-5418 Non, Street;Delft;Zuid Holland;84561-281;South Africa;Lorem
77;THEBI;6;2015.03.02 22:43;2016.01.16 02:56;2015.07.22 06:14;3;11.0000;Proin nisl sem, consequat;Ap #278-1020 Dui Rd.;Auxerre;BO;30843;Morocco;Lorem ipsum
78;THECR;2;2015.01.16 21:53;2015.12.11 21:28;2015.09.18 21:14;3;40.0000;et, eros. Proin ultrices.;9422 Gravida Rd.;Houston;Texas;388214;Svalbard and Jan Mayen Islands;Lorem ipsum dolor
79;TOMSP;1;2015.06.03 02:29;2015.12.07 04:03;2015.09.10 08:09;2;46.0000;sollicitudin orci;P.O. Box 884, 2015 Sociis Av.;Istanbul;Ist;1654;Armenia;Lorem ipsum dolor
80;TORTU;2;2015.03.04 10:07;2015.10.17 16:11;2015.09.22 12:41;1;67.0000;Nullam suscipit, est;Ap #664-6187 Nulla. Road;Galway;C;993253;Vanuatu;Lorem ipsum
81;TRADH;2;2015.05.02 23:58;2015.10.03 18:40;2015.06.30 22:47;1;66.0000;neque et nunc. Quisque ornare;P.O. Box 843, 989 Lorem, Av.;Salamanca;Coquimbo;66-330;Montenegro;Lorem ipsum dolor
82;TRAIH;3;2015.06.23 19:49;2015.07.11 02:15;2015.07.28 11:32;3;12.0000;vitae mauris sit amet;767-352 Nulla Av.;Berlin;Berlin;67084;Fiji;Lorem
83;VAFFE;3;2015.05.31 03:41;2015.12.22 09:09;2015.09.21 20:20;2;78.0000;Vivamus sit amet risus.;P.O. Box 275, 1487 Non, Street;Kansas City;Missouri;490314;Nigeria;Lorem
84;Val2 ;1;2015.05.24 20:01;2015.10.10 10:51;2015.08.25 15:44;2;7.0000;purus, in;Ap #963-7412 Ante, Rd.;Vienna;Wie;T8L 5Z6;Namibia;Lorem ipsum
85;VALON;5;2015.02.04 14:30;2015.10.26 16:47;2015.09.09 13:10;3;21.0000;id,;684-7406 Donec Road;Okpoko;AN;6434;Korea, North;Lorem
86;VICTE;8;2015.03.31 14:15;2015.09.02 00:41;2015.09.01 12:59;2;45.0000;enim diam vel arcu.;Ap #169-4543 Sapien. Av.;Los Angeles;CA;799287;Cook Islands;Lorem
87;VINET;4;2015.06.07 07:05;2016.01.15 15:15;2015.07.05 16:41;1;69.0000;mauris;Ap #341-1520 Facilisis Street;Funtua;Katsina;9223TR;Saint Martin;Lorem ipsum dolor
88;WANDK;5;2015.06.01 22:42;2015.07.07 05:03;2015.07.21 13:12;2;15.0000;Nulla facilisi.;P.O. Box 150, 1144 Vulputate, St.;Istanbul;Ist;71847;Saint Pierre and Miquelon;Lorem ipsum
89;WARTH;4;2015.03.05 20:27;2015.08.16 11:48;2015.08.16 04:01;3;45.0000;rutrum, justo. Praesent;3509 Lacinia. Av.;Karapınar;Kon;6625;Honduras;Lorem ipsum
90;WELLI;4;2015.02.07 19:41;2015.11.04 10:18;2015.09.16 19:10;2;96.0000;nec;803-3382 Libero Rd.;Indore;MP;41181;Bulgaria;Lorem ipsum
91;WHITC;7;2015.01.23 06:57;2015.06.30 05:16;2015.08.03 09:17;3;71.0000;ullamcorper, velit in;397-9427 Lorem. Ave;Chiari;LOM;66888;Svalbard and Jan Mayen Islands;Lorem
92;WILMK;4;2015.02.15 03:49;2015.09.07 00:20;2015.08.12 17:16;1;1.0000;eget metus. In nec;2519 Vulputate, Rd.;Charny;QC;DI90 2AY;Curaçao;Lorem ipsum dolor
93;WOLZA;2;2015.06.16 02:09;2016.01.21 16:59;2015.08.26 15:15;3;10.0000;imperdiet nec, leo. Morbi neque;154-6279 Vivamus Avenue;Elsene;BU;6968JB;Bouvet Island;Lorem
94;HILAA;6;2015.04.06 05:47;2015.09.13 23:27;2015.09.24 16:26;3;51.0000;Mauris molestie pharetra nibh. Aliquam;475-709 Molestie St.;Swan;WA;979381;Tonga;Lorem ipsum dolor
95;HUNGC;5;2015.01.19 15:32;2015.10.31 01:14;2015.07.27 09:54;1;21.0000;"ultrices posuere cubilia Curae;";158-7142 Pharetra. St.;Montreuil;IL;2183;France;Lorem ipsum dolor
96;HUNGO;1;2015.05.10 16:50;2015.09.03 02:39;2015.09.07 01:19;1;4.0000;libero dui nec;Ap #554-7909 Sit St.;Isla de Pascua;Valparaíso;39806;Heard Island and Mcdonald Islands;Lorem ipsum
97;ISLAT;4;2015.03.25 16:55;2016.01.08 01:26;2015.09.21 12:56;3;2.0000;odio;105-8151 Ullamcorper, St.;Montebello;QC;39583;Libya;Lorem ipsum
98;KOENE;9;2015.05.27 19:18;2015.09.30 20:11;2015.08.27 12:58;2;11.0000;metus vitae;P.O. Box 415, 5876 Id, Rd.;Detroit;Michigan;10512;Denmark;Lorem ipsum dolor
99;LACOR;5;2015.04.20 08:56;2015.10.15 10:33;2015.09.21 13:03;2;82.0000;nunc sit amet metus.;P.O. Box 976, 7608 Id Road;Mauá;São Paulo;2994;Kyrgyzstan;Lorem ipsum
100;WELLI;3;2015.02.02 21:33;2015.12.21 01:25;2015.08.01 05:53;3;7.0000;ipsum;Ap #752-9803 In Street;St. Neots;HU;97-301;Sri Lanka;Lorem
